0,1,2,3,4,5,6
6,11,20,22,28,43,47
6,14,15,17,34,35,47
6,15,19,23,36,37,38
8,18,20,22,26,28,34
9,11,17,20,21,22,33
9,13,29,33,43,46,49
9,17,24,28,31,37,40
9,19,41,42,44,46,49
10,19,33,34,36,43,47
11,26,32,41,42,48,49
13,17,20,23,28,36,40
13,19,33,37,40,41,50
22,27,29,38,40,45,48
5,20,21,22,32,37,41
1,5,8,10,12,21,38
1,9,13,16,18,28,45
1,11,12,16,20,30,39
2,6,9,13,14,31,45
2,6,9,18,36,42,43
2,9,10,16,17,21,42
3,8,17,37,38,49,50
4,6,11,15,28,32,50
4,6,16,17,23,35,48
4,9,24,39,43,45,49
4,11,12,15,23,26,27
5,11,14,20,24,31,38
5,11,16,25,27,29,47
6,9,32,36,44,45,48
7,10,11,23,31,33,43
7,15,20,32,34,45,48
8,11,12,13,26,46,48
11,14,21,24,30,44,49
13,20,22,28,31,37,39
14,20,21,23,24,35,40
16,19,33,37,39,44,48
22,25,27,32,34,39,48
5,9,10,25,27,29,38
1,12,13,26,40,45,49
1,14,16,25,27,31,38
1,35,36,40,43,49,50
3,4,16,20,24,27,42
3,8,9,15,17,38,44
3,9,10,27,37,47,48
3,12,22,26,31,35,41
3,13,15,19,31,43,48
4,5,10,12,22,26,34
4,7,15,22,29,38,39
4,8,14,30,31,37,50
5,6,10,22,40,41,49
5,11,16,21,33,37,46
7,8,11,17,21,30,47
9,17,18,21,30,40,45
14,15,32,36,39,43,49
14,18,33,35,39,47,48
15,19,26,34,36,39,44
15,27,29,30,33,44,49
5,7,22,29,32,37,39
1,2,7,15,23,45,48
1,3,20,35,39,44,48
1,7,12,13,21,24,50
1,17,20,31,32,41,43
2,5,6,10,19,40,42
2,11,13,17,30,39,42
3,8,10,20,26,28,41
3,10,12,14,36,41,42
4,16,22,31,37,39,48
5,7,17,23,38,39,41
6,11,29,30,36,40,48
6,12,19,20,27,30,36
8,12,16,24,25,26,28
13,15,24,30,33,35,38
20,21,28,38,39,41,43
3,4,13,14,30,36,41
1,7,12,20,24,31,32
1,9,10,13,44,45,46
